Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Johan Hammar\9dc0fa97,se SWE,DF,Häcken,26,1994,24,19,1656,18.4,0,1,0,0,0,7,2,0,0.05,0.05,0,0.05,Matches
Marek Hamšík\e6ad16b2,sk SVK,MF,Göteborg,33,1987,6,5,441,4.9,1,1,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,Matches
Kristoffer Hansen\9e3e5d05,dk DEN,DFMF,Häcken,18,2002,15,15,1266,14.1,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Eirik Haugan\857411ed,no NOR,DF,Östersund,23,1997,29,29,2548,28.3,0,0,0,0,1,5,0,0,0,0,0,0,Matches
Tobias Heintz\a69cf944,no NOR,MFFW,Häcken,22,1998,18,15,1252,13.9,2,1,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22,Matches
Adam Hellborg\19bb1ad8,se SWE,MF,Sirius,22,1998,24,19,1660,18.4,3,1,3,0,0,11,0,0.16,0.05,0.22,0.16,0.22,Matches
Isak Hien\12806697,se SWE,DF,Djurgården,22,1999,5,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Benjamin Hjertstrand\c801ab51,se SWE,DF,Örebro,27,1994,28,26,2332,25.9,0,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Kadir Hodzic\2cf7a1e8,se SWE,MF,Mjällby,26,1994,29,29,2492,27.7,2,3,1,1,1,5,0,0.07,0.11,0.18,0.04,0.14,Matches
Kalle Holmberg\1b7acd94,se SWE,FW,Djurgården,27,1993,24,21,1524,16.9,2,4,2,0,0,3,0,0.12,0.24,0.35,0.12,0.35,Matches
Samuel Holmén\a54bb0fb,se SWE,MF,Elfsborg,36,1984,23,2,492,5.5,1,0,0,1,1,5,0,0.18,0,0.18,0,0,Matches
Frederik Holst\7f32741e,dk DEN,MF,Elfsborg,26,1994,26,25,1973,21.9,1,4,1,0,0,8,1,0.05,0.18,0.23,0.05,0.23,Matches
Felix Hörberg\4e7d3d74,se SWE,MFDF,Östersund,21,1999,26,25,2133,23.7,1,4,1,0,0,4,0,0.04,0.17,0.21,0.04,0.21,Matches
